cleaned_text,sentiment
let make sure this gets to everyone impacted by layoffs we created a free tool that matches qualified candidates with the open roles available to them through their network it takes seconds to sign up and the results are immediate here the deal make it easier for job seekers to find work and you make it easier for them to find this tool sounds good check it out show them what we can do when we come together,2
as many of you have likely already seen in the news has laid off employees and i was included at this time i am and would appreciate any sharing referrals etc and i will do the same for so sad to see so many people beyond just being impacted with layoffs,2
hi everone unfortunately i was one of the people affected by layoffs at doordash i will always appreciate my time and learnings at doordash with that said i am looking for a new role and would appreciate your support in any way thank you in advance for any connection or opportunities you can offer,2
hi everone unfortunately i was one of the people affected by layoffs at doordash i will always appreciate my time and learnings at doordash with that said i am looking for a new role and would appreciate your support in any way thank you in advance for any connection or opportunities you can offer,2
as a past startup founder i know firsthand how hard it can be to recruit and hire the right talent and after going through my first layoff experience this year i been thinking a lot about how companies hire in my newest thought piece for mission i explore a new model for bringing in talent to accelerate product development while cutting fixed costs fractional teams read the full article at the link below to find out why fractional teams are the secret to layoff proof hiring in,1
imagine that instead of painstakingly hiring one individual at a time you were able to hire an entire team flexibly scaling their hours up and down based on the stage of product development you in wait did we just figure out a layoff proof model for team the predicament slower growth higher interest rates and diminished consumer spending are forcing companies to exercise a lot more caution as they undergo their headcount planning but they still need to build high growth products to hit their goals what if they designed their companies the current economic climate top founders are bringing in the talent they need to accelerate product development while actually saving on costs the secret instead of hiring full time they deploying fractional teams with fractional hiring founders can deploy a specialized fractional team that already worked together before and is perfectly suited to build what they need to build instead of painstakingly hiring individuals and forming them into a team over a month period if you look at the layoff messaging from the ceos of stripe meta and apple they all had a common narrative they gotten ahead of themselves with hiring amidst the economic boom and grew their workforce too fast if they had instead kept a smaller core staff of ftes and supplemented them with fractional teams based on the initiatives at hand would the outcomes be teams might just be the answer to layoff proof hiring in the full article,0
do you agree a job rejection or layoff does not define your worth or your calibre awesome you talented you competent if they could see that that on raise your finger on your infinite potential evaluate re strategize and re wish you the talent solutionslinkedin news india,0
hoje recebi a notícia que fui desligado da xp nesse layoff foram quase anos de muito trabalho para ajudar a empresa a revolucionar o mercado financeiro gostaria de agradecer a todos que fizeram parte da minha jornada gostaria de aproveitar e me colocar a disposição para novas oportunidades,0
my heart is heavy today upon learning that some of my former colleagues at doordash have been impacted by layoffs i worked with some of the most talented and incredible people i have ever met in my professional career during my time with doordash any company would be lucky to have an ex dasher if i can help anyone impacted by the layoffs in any way please do not hesitate to reach out,2
a lot of people in my network are looking for roles in response to all these layoffs if you hiring or know who is please comment below we all do better when we support each other,1
to all my friends and former colleagues impacted by the recent layoffs messagebird genesys doordash twitter etc please reach out to me and i do my best to help with introductions referrals or simply a chat and please note that seismic is hiring,2
new cnn boss chris licht on wednesday informed employees that layoffs at the network are underway according to an internal memo sent to staff the layoffs cap off what has been a particularly challenging year for the network and the media industry broadly more on axios,1
thinking of all the employees and friends that were impacted by today layoffs please let me know if there is anything i can do to assist you in your search for a new opportunity,1
new cnn boss chris licht on wednesday informed employees that layoffs at the network are underway according to an internal memo sent to staff the layoffs cap off what has been a particularly challenging year for the network and the media industry broadly more on axios,1
in spite of all the tech layoffs we honoured to be ranked again on deloitte north america and the growth continues,2
sad to announce i was affected by the recent doordash layoffs i greatly enjoyed my time working with the drive team and have learned a lot during my time there,1
i have been posting much on linkedin but with all the recent layoffs i think it worth sharing a few things that helped with my job keep your pipeline big within niche get referred thanks dana communicate consider relocation being assume i not getting an offeri hope everyone is doing well let me know if there is any way i can help you in your search,1
to all my friends and contacts that have been affected by recent rounds of layoffs across the industries please let me know how i can help intro to someone i know brainstorm on next steps references or just to chat i am doing that for a few friends today and love to help anyone else that wants it,2
welp i thought i had escaped the wave of tech layoffs but here i am excited for a new or role especially using cheers and thanks,2
doordash had a mass layoff today seeing all of these layoffs really break my heart hang in there everyone if i can help connect you in anyway please let me know,0
today sucks so many of my talented hard working and just all around incredible colleagues at doordash were impacted by the layoffs today i am heart broken to see my friends and colleagues posts and do really have the words to describe what i feeling today if you are impacted by the recent layoffs at doordash or elsewhere please let me know if i can do anything to help happy to connect network and make introductions if it may be helpful i wish there was more i could do,0
for those unaware i was unfortunately apart of the doordash layoff extremely grateful for the team friends who truly embodied a work family and provided a truly unique space for my personal professional growth will be missed despite this i excited for what the come to the future and new doors holding my head high,0
tech company layoffs are not expected to prompt a tsunami of job losses in other industries but they are another sign of a cooling economy more broadly economists say,0
this morning i woke up the the sad news that i am one of the people affected by the doordash layoffs i am in shock and extremely sad i did not see my career at doordash ending like this but i am forever greatful for all the things and i learned and the amazing friends i made to my candidates i am so sorry i apologize this is not the candidate experience i ever wanted you to have please know that this is not a reflection of how i work that said i am and super excited and scared for this next chapter,2
just out my first piece for forbes in a while asking whether we taken empathy in the workplace too far is it sustainable in tough times not only good ones in layoffs and does business need to get more hard core as musk puts it in order to survive downturns please take a look,1
is it really that hard to be a decent human being the layoffs are showing how some of these companies really feel about their own employees,0
shame on doordash for laying people off via email i know they laid off a lot of people but at least set up some zoom meetings or something treat people like people been thinking a lot about how many people worked hard for their employers prior to being laid off they put in the extra hours pushed through days packed with meetings logged in on weekends to meet deadlines and push out offers they rose to challenges stepping outside their comfort zones and learning the skills needed to get the job done and to think that after all of that no one had time to break the news to their face it not okay it become way too easy for companies to casually carelessly discard people like they mean nothing we need to do better,0
just out my first piece for forbes in a while asking whether we taken empathy in the workplace too far is it sustainable in tough times not only good ones in layoffs and does business need to get more hard core as musk puts it in order to survive downturns please take a look,1
hi the time has come where i officially on the job market looking for new positions i unfortunately was apart of the recent layoffs at intercom i got nothing but amazing memories from my time at intercom and ca thank the company and everyone i worked with enough for all of the opportunities i was after starting as an sdr making a switch to recruiting and hiring over great people throughout my time it was an amazing ride but now i excited for a new challenge and looking for another company i can grow and make an impact with please keep me in mind for any recruiting role available out there,2
hello everyone i am one of many that have been impacted by recent layoffs due to market struggles many businesses are facing since then i have moved into a new apartment prioritized a new gym schedule and really strived to stay optimistic believing everything happens for a reason working for pacaso was amazing the culture truly set the bar for all future opportunities i come across i am excited to see what is in store for the next chapter of my career,2
today doordash had to make an incredibly tough decision i woke up on the morning of my year dashiversary to the news of the layoffs to those that have been impacted please know i am here for each and every one of you and will do anything i can to help to any companies looking for some of the hardest working most committed operationally excellent people out there we started a doordash alumni talent directory with information on those who are actively looking for new opportunities just email for access to the directory,2
with all the layoffs going on i wanted to share that we are hiring for some key positions in all departments also here to help with any introductions or information,1
cloudtrucks is growing and i hiring key roles on my team looking for a few performance folks to help build our growth engine take a look at the roles below and apply or share if you know someone who might be a good fit links to more info about each role are in the comments sr lifecycle marketing manager head of performance marketing sr demand gen manager a few notable articles if you want to see what we been up forbes next billion dollar startups cnbc disruptors cloudtrucks cloudtrucks seeks to take on trucking shortages with fresh funds at million valuation,1
outplacement can help you and your human resources team during the layoff process learn how providing davron outplacement as part of your severance plan can help your firm and get transitioning employees back to work quickly,2
i know the market has been pretty turbulent and my heart goes out to those who have been impacted by the layoffs there are multiple roles on my product team that we hiring for at bill developer api platforms strategic bank partnership i am always looking for director sr director product management developer api platforms senior product manager strategic bank partnerships staff product manager strategic bank partnership,0
many thanks to the amazing rachel cohen for revamping my corporate logo the pic shows the before and after rachel recently lost her job in a large layoff and she looking for a new position in or she located near dc she talented professional a great communicator you should stop reading this and hire her,2
if you struggling to find your new home within the finance sector following the mass layoffs in mortgage fintech our team wants to hear from you we are experiencing our healthiest yet and we need your skillset let us tell you why cdri voted alleviate financial solutions the emerging company of the year we are currently recruiter data analyst debt advisors negotiations agents negotiations manager senior it analyst technical trainer,2
why are all tech companies so synchronous in their realisation of the need to layoff staff,0
fresh off layoffs scores a phase win for immunedeficiency disorder drug,1
its a tough day at doordash saying goodbye to some super talented colleagues is never easy if you are impacted by todays layoff please reach out if i can help out in any way making connections referrals companies looking for exceptional talent can email for access to a directory of people who are actively looking for new jobs,1
saddened by the recent layoffs and those affected at cherry we are hiring i love this company and would recommend it to anyone who is applicable and on the market,2
our hearts absolutely go out to all of those affected by more whether it be in or other industries we are really excited about what we building at cherry and we love to have conversations with individuals looking at continuing to build their tech fintech careers in the or we believe in rewarding top talent with high incentives and great starting base pay never will you hear of a hiring manager at cherry taking advantage of a recently candidate we believe in where you are paid the same competitive as your peer in the same role if you like to sync with us please reach out to me directly or take a look at our careers page to the candidates,2
a while longer but it happened with me as well i was part of wild life layoffs so now i am looking for new opportunities mainly in developer relations or tech evangelist but also in any development related areas remote or based in london is ideal but i open to entertain any opportunities thank um pouco mais mas aconteceu comigo também fiz parte da onda de layoffs da wild life então estou procurando oportunidades a principio em devrel ou tech evangelist mas também em qualquer outra área relacionada a desenvolvimento remoto ou londres seria o ideal mas estou aberto a ouvir qualquer oportunidade obrigado,1
more layoffs are coming and here one thing you can do to reduce your anxiety in i took a year long break from work i wanted to try something new so i left a high paying job without one in hand i could do this because of one reason i built an investment portfolio that gave me income and could withstand market ups and downs i want to teach you how to do that i spent years on wall street most people have lost too much money this year is likely going to be volatile as well you want to reduce anxiety with potential layoffs join the free challenge at the link below maven,2
layoffs recessions and uncertainty as we close out a volatile managers need guidance on how to best support their teams catch our timely webinar next thursday to hear from our experienced coaches on what managers need the most right now,2
layoff bismillahirrahmanirrahim hari ini november hari terakhir saya menjadi karyawan di salah satu e commerce yang tentu nya banyak orang tau telah me layoff banyak asset semua akan baik baik aja itu yang ada dipikiran saat ini setelah terdampak layoff mungkin ada salah satu dari yang terkena dampak layoff berpikir kok gue yang di layoff salah nya apa mau gak mau siap gak siap itu udah jadi keputusan semangat untuk yang terkena dampak layoff perlu diingat manusia tidak pernah tahu di mana dia harus menjemput rezekinya tapi rezeki pasti tahu di mana pemiliknya masih ada rezeki kalian ditempat lain perusahaan hanya perantara tuhan memberikan rezeki untuk kalian salam dari pejuang nafkah untuk keluarga,0
hi connections i have been impacted by the layoff and a couple of the offers from the tech giants that i was holding have been cancelled amidst recession the reality is opportunities are really less in the industry but i am quite confident about the skillset i possess and eagerly looking forward to the opportunities for position ideally in top product based companies i have years of experience and have invested heavily in data structures and algorithms problem solving system hld and design patterns skillset programming languages java python golangtechnical skills data structures and algorithms lld hld design patterns aws mysql dockertools intellij vs code anaconda giti am looking forward to connect with recruiters hiring managers and happy to address all their queries if any please do let me know in case you come across any relevant opportunity for me let connect and help each other to the best of our potential,1
interesting meeting with joshua tanusaputra he discussed out he can partner with companies that are anticipating layoffs in assisiting them with outplacement services,1
utilizing an on site outplacement service provides assistance with crafting the message you will deliver to separating training managers to deliver the sequencing separations for minimum interruption in the workplacetalk to us today,1
it was not too long ago i was celebrating my new role at doordash with my linkedin community but today i was one of employees impacted in a company wide layoff as an hrbp it feels strange being on the other side of a layoff on a day like today i would be the one to help answer any questions for my employees as they go through this process so to my business partners who were also impacted today i still here to help offer support should you need it while i will be taking this time to recharge and reset i am officially,1
are you a worker who just got laid off from or a similar company were you thinking of getting an before since the layoff well northwestern university kellogg school of management wants you and so does mit sloan school of management,0
are you a worker who just got laid off from or a similar company were you thinking of getting an before since the layoff well northwestern university kellogg school of management wants you and so does mit sloan school of management,0
if you were affected by the layoffs that began this holiday season nationwide or if you interested in the data center world as a career path moving forward qts data centers is hiring,0
if you or someone you know was affected by the recent layoffs across the tech industry or if you are just looking to start or continue your career in the data center industry qts data centers is hiring qts is positioned to execute on a global expansion initiative and we are looking for the best and brightest to join our team below are just a few of the opportunities open right now to become part of the team responsible for building the txconstruction accountant specialist development contract specialist director development procurement strategic procurement project manageratlanta ga and phoenix azdata center project managerdata center project engineerdata center director developmentdata center program managerif your or someone you know is interested let talk send me a message or apply online stewart heather ferrer mba chris kincaid andrew riela israel segura laney marinich lane anderson angela kistner shrm cp natalie hobbs george alan burket ii collin scott joe robertson,1
what is the longest you have gone without a new opportunity after a layoff termination or similar situation,0
reposting layoffs have continued here to help where ever i can,2
if you been impacted by a layoff or are looking for something new i happy to review your resume or linkedin profile hit me up over dm here or via email,0
streamline is hiring in the times of layoff we have shown stability and we are know anyone who might be interested,2
if you know of anyone looking for a job due to all the recent layoffs please invite them to register for this free webinar next monday,0
looking for a us for this free how to get into the hidden dealing with we answer any of your questions on resume linkedin interview networking strategies mindset and more extremely practical so join us some love in the comments register in the link in first comment,2
for anyone who is experiencing a layoff especially the first can be the most difficult layoffs that occur around the holidays are some of the most cruel elements to corporate america if this is you or someone in your network send them these wise words by jack appleby who is a marketing and social media guru that literally gives diamonds of wisdom for future social while also making incredible hr supported takes about pto compensation self advocacy and development follow him here on linkedin twitter and first lay off is gon na hit hard emotionally you probably never not had a job you might be feeling shame why did they cut me you might be feeling embarrassed all friends with our industry peers what will they think so many of us build our identities around our jobs that losing it leaves us unsure of ourselves eventually you come to the truth it was about you at all the economy is struggling advertisers are tightening their belts it was a reflection of your skills or who liked you or anything about you you took a job you were excited to take and were good at some jobs just are as safe during economic downturns i promise you be missed at work i promise it killed your boss to let you go and i promise you find the next job faster than you think,0
hires were up slightly in october and quits layoffs and retirements were all down slightly job openings in october fell in all regions of the nation other than the west,0
just like the talented people who woke up to news of being impacted by layoffs at doordash i back on the job market and actively seeking new opportunities i will forever appreciate the time i spent at doordash along with the connections i made and teams i supported if you or anyone that you know has openings within their talent acquisition teams i certainly appreciate you keeping me in out to your recruiter friends and give them a hug during these crazy times onward and upward friends,2
hi everyone it was great working with ula but i one of those who impacted by the layoffs and now i am looking for a new roles and opportunities i would like to say thank you to steven harijanto tonny winata beatrix kainama erick khowanto and others who helped me from the first day i joined ula,1
for us in the tech heavy markets of san francisco and austin the job market has changed significantly in the last year however there are still many great opportunities for finance and accounting professionals here are actionable steps to take if you fearing a layoff or otherwise considering looking for a new job,1
my company has begun the process of downsizing and layoffs that included employee regardless of level in the company hired in the past years as of that i am looking and in a rush to make a move before the end of december i would appreciate any one who could share or help in this search i am looking for a new controller or similar role i am open to being hybrid or remote as well,0
my company has begun the process of downsizing and layoffs that included employee regardless of level in the company hired in the past years as of that i am looking and in a rush to make a move before the end of december i would appreciate any one who could share or help in this search i am looking for a new controller or similar role i am open to being hybrid or remote as well,0
alumni pop up series uncertainty in a season of layoffslayoffs and uncertainty are flooding the news and the career management center is here to support our wonderful alumni in response to the layoffs happening in the current job market we are hosting several upcoming sessions on various topics for those who may be unexpectedly starting a new job search or are wanting to prepare themselves for this uncertain time register for the following virtual sessions below via careerbridge how to get started on your job search december pm et where should i look for a job december pm et lay offs design your life forward in the midst of chaos session december pm et keep your network from growing cold december pm et resume and linkedin workshop december am questions regarding registration or access to careerbridge please reach out to,0
hearing about all of these layoffs are scary but hoping to help people that have been affected in any way that i can as for design folks my team at grubhub is looking for a sr product designer to join this awesome group so if you or anyone you know may be a good fit for this role message me and send me those portfolios note must be located or willing to relocate in ny boston or chicago,1
while businesses are now recovering from the pandemic the tech industry is still being affected due to the demand for tech services during the pandemic a lot of hiring and bump in salary scale happened things are evening out and reality is setting in for the tech industry in the aftermath of the pandemic i think it will only get worse from here more and more layoffs will happen,0
while businesses are now recovering from the pandemic the tech industry is still being affected due to the demand for tech services during the pandemic a lot of hiring and bump in salary scale happened things are evening out and reality is setting in for the tech industry in the aftermath of the pandemic i think it will only get worse from here more and more layoffs will happen,0
i really hoping the latest laudably newsletter can help people who are looking to change jobs or facing potential layoffs the newsletter featured renewable energy companies that are hiring and suggestions for how to incorporate climate action into your current role please share or tag anyone who might benefit from this info,0
are you looking to shift to a more climate focused job or facing the threat of layoffs the latest newsletter looks at how helping the environment could help your career and highlights innovative climate impact companies hiring for a variety of roles here are the key takeaways making climate a priority in your current role could help your company and improve your employee status recession proof utility companies focused on renewables are one type of company hiring for roles in software engineering accounting legal sales finance and more right now although not necessary if you keen to learn more you can skill up with sustainability education via online courses or continuing education programs the newsletter features renewable energy companies that are hiring including swell energy weavegrid and intersect power it also mentions ayana elizabeth johnson michelle li green jobs board b lab edx coursera harvard extension school columbia university school of professional studies and mit professional education read the full newsletter for more details and links,1
inflation stocks tech layoffs in the news mean while it seems the us has a great deal of money for dod the united states will spend billion dollars on the national defense budget for the fiscal year and defense reports state us will add another billion for and has complete support of the congress to approve this amount us will be looking to spend over billion in for dod,0
i was saddened to learn of the layoffs impacting old colleagues at bbot and doordash today these are some incredibly talented people and i encourage anyone hiring in my network to reach out to them for those with marketing and events experience we are hiring a digital marketing manager or associate and an events coordinator please reach out,2
i joined this incredible company in sunny san diego and am currently looking for an hr generalist to join my team if you know anyone in the area who may have been impacted by recent layoffs or someone who might be interested in this or other open positions send them my way,2
the you have been waiting for is just a click away check out to learn more about the opportunities we have available at san diego most exciting start up,1
i was part of my first layoff today doordash i learned a lot and had an opportunity to really grow in my career while i happy i have a little extra time off this year i extremely sad i thought i would be there for the next years anyways if you are hiring for technical talent sourcers i and many other very talented people will be looking,0
for the us department of veterans affairs the mass layoffs in silicon valley present a rare shot to snag top talent with a chronic shortage of tech workers hundreds of open roles and extra money from congress in last year budget the agency is keen to seize the opportunity bloomberg,1
businesses across the board are reckoning with a worsening economy and amazon is no different amazon ceo and president andy jassy discussed how he steering the company through the current economy and more at the new york times dealbook summit in new york on wednesday some highlights jassy said that the economy was a lot more uncertain than people previously thought and that the layoffs were needed to streamline costs we realized we needed to be more slim on some of our resources still consumers came out in droves for the holiday weekend and set new records for black friday and cyber monday jassy said that amazon was still assessing how buyers are reacting to the current environment but that it was clear that consumers are spending but being careful he also addressed the controversy around the kyrie irving boosted book and film hebrews to negroes wake up black america confirming that it would remain for sale on amazon saying that moderating content for sale on amazon is one of the trickiest issues we deal with and calling it a very slippery slope to make such calls when you have content whose primary purpose is not to espouse hate or ascribe negative characteristics to people jassy seemed bullish on amazon long term emerging tech bets including zoox its self driving car and project kuiper its initiative to provide low latency high speed broadband connectivity do i think every single one of them is gon na be successful the history of business the history of amazon suggests no but even one of them actually becomes that fourth pillar on top of marketplace prime and aws then we a different company,0
linkedin colleauges and friends writing this message is bittersweet but i wanted to inform you that i was let go as part of the doordash layoffs i have been lucky to have had so many great mentors teammates and direct reports over the last three years i have learned built and grown so much with all of you it something i will never forget but as one door closes many more open and i am excited about what the future you are looking to hire talented individuals please let me know i am available obviously but there is also a number of other talented individuals that have been let go you can reach out to me directly or email for access to an active directory,0
facts so many people have been affected by layoffs and it is not easy,0
stop ignoring that friend who suddenly went brokeafter loss of job or business reach that single mother playing independent is not fine reach that jobless drunk brother who has been by your friends and family reach that beautiful woman who you think has it all she isnot fine reach your girlfriend who suddenly became lazy withdrawnand suicide is not selfish it is selfish to remind adepressed person that suicide will only transfer the painto others there is no pain in death depression seeksthat peace reach no a bottle of whiskey is not reaching and paybills after suicide is hypocrisy reach out toyour friends hugs to you fighting in silence,0
job openings ease but layoffs are little changed open positions slipped by in october the labor department said wednesday reductions in job openings were across industries but openings remain above pre pandemic levels,1
i stepped away from linkedin for most of november i got sick while starting a brand new role and needed to take care of myself i hope you know it ok to get off the grid for any feeling drained from the chaos and layoff feeling overwhelmed and stressed by the job feeling the need to focus on other aspects in your to your feelings and protect your health at all cost your community will be there when you ready glad i took time off and i back rejuvintated excited to tackle the last month of the year are you looking forward to in,0
to everyone who has been impacted with the recent layoffs i very sorry you going through this specially at this time of the year it is only a temporary situation and i sure you get through this experience stronger and wiser here in atlas we have a variety of job openings where you may find a suitable match good luck in your job search and stay strong,2
hi everyone unfortunately i received news that nomad would be reducing its workforce and i was apart of that layoff i am grateful for the opportunity that was given to me when i was hired earlier this year thank you katie corder paul thank you to shelby schmitz wes oswalt and everyone else that i worked with at nomad for all the lessons and experience you guided me through i am looking for a new role and would appreciate your support thank you in advance for any connections advice or opportunities you can offer,0
earlier today doordash made the difficult decision to layoff many of our brilliant and kind teammates anyone looking to add exceptionally talented people to their teams can access a directory of doordash alums by emailing i happy to offer referrals for anyone i worked with to those looking for a new role i hope you can prioritize care and compassion for yourself as you navigate this change i always available to listen brainstorm rooting for you anyway that,2
tech layoffs so far in enterprise meanwhile is booming there a great rotation of talent to be unlocked companies are switching their focus from consumer to software,0
cnn chief executive chris licht informed employees in an all staff memo that layoffs are under way according to an email seen by reuters,0
this morning i woke up to devastating news that i was no longer employed at doordash myself and incredibly talented people were impacted by a mass layoff as you can imagine i been sifting through dozens of text messages from coworkers and processing every emotion the past few hours i was approaching my two year anniversary and i truly saw a long and bright future ahead of me at doordash i had so many big ideas and plans for myself and was excited for another year ahead although my time has come to an end i gained an incredible amount of knowledge supported and led so many exciting projects and built long lasting relationships that i will carry with me to my next opportunity i want to acknowledge my leadership mckinsey dyar and katie wagner for always creating a collaborative and fun environment across the team i will miss working with them greatly as i look into the future i remain hopeful i will find a position that resembles the inclusive environment i had at doordash and a place that truly values my expertise it not lost on me that i was working with incredibly talented candidates and guiding them through the interview experience please know that if i could reach out to support you i would i will be taking a few days to process this change but my inbox is open and i would love to discuss opportunities,2
those in tech sales keep your heads up during these layoffs the job is easy and if you can make it there you can make it anywhere it such an underrated skill to have thankful for friends in the tech sales community who taught me more than i could imagined hanging around these parts more often would love to follow along,2
i joined this incredible company in sunny san diego and am currently looking for an hr generalist to join my team if you know anyone in the area who may have been impacted by recent layoffs or someone who might be interested in this or other open positions send them my way,2
the you have been waiting for is just a click away check out to learn more about the opportunities we have available at san diego most exciting start up,1
it looks like a wave of layoffs is hitting vietnam tech scene unlike anything i seen before if you affected by this we have a few positions here at holistics that you might be interested software engineer senior mid level product manager senior mid level,1
cnn chief executive chris licht informed employees in an all staff memo that layoffs are under way according to an email seen by reuters,0
hey friends if you been impacted by layoffs and you and i have ever worked together if i ever trained you partnered with you had the privilege of managing you or anything in between friendly reminder that my inbox is open and i here to help quick ways i can sharing your forwarding opportunities as they come across my being a listening ear sharing writing a li being a reference for interviews if we partnered closelyplease reach out if i can help sending positive vibes and support from afar,2
i have not included my former employer on my linkedin because it was the worst company i ever worked for and i was happy to have left with my dignity sanity and peace intact while i was not entirely surprised that they recently had another round of massive layoffs and closed their atl office i was still heartbroken for the amazing people that i met there with far more talent than that company ever deserved to my former colleagues you all deserved better will get better and i still here if you need me,0
david just escaped from a full time job in a toxic environment where the best employees quit and the worst people were promoted to management positions the people with all the ideas were shunned and pushed aside while the tush kissers with no plans got promoted the harder david worked the worse he got treated finally when a completely unqualified person got promoted to be his manager because that manager had a personal relationship with one of the vps that was the last straw david resigned it was hard for him to leave the company he worked so hard for but he felt a huge weight lifted off his shoulders the minute he was out of there i read this story from liz ryan article in forbes and it is so reminiscent of many people experiences in many organizations worldwide great employees who came into the organization with an inspired heart and a spark in their eyes ready to make a difference got uninspired and demotivated when they soon realized that their environment was toxic to the core never settle for any toxic fear based organization it not good for your professional development health and energy there are many options out there take advantage of them because you deserve better and you deserve to work in an environment that helps you become the very best version of yourself check out more here,0
as high profile layoffs surge through the tech industry the broader private sector is still creating jobs but at a slower pace while job openings are still high read more in this post by jose torres interactive brokers senior economist,1
current status returning my work equipment i wo lie at first it kind of felt like some sort of walk of shame but as i looked at my laptop covered in stickers of meta values i just kept reflecting on how amazing my time was as a i saw a linkedin post yesterday where an individual expressed their harsh and compassionless opinion against those who were impacted by the for me this layoff has been less about losing my primary source of income and more about having my dreams crushed sorry to sound dramatic i a i not asking for pity or for people to feel sorry for me for us we are all processing my coworkers on my team were some of the best people i have met the resiliency we had the collaboration the community we built all of it is why this layoff is so hard but i can look to the future with hope i reflect on the past with gratitude and in the present i doing what i need to do to achieve my goals and to turn this experience into another dream come true so in spirit of the holiday season let all treat each other with compassion respond with empathy and lead with kindness,2
